================================================================================
OPTİMİZASYON BAŞARILI — OPTIMAL
================================================================================

12_Mayis | Mersin-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Karaman | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Denizli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Isparta | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Isparta | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Isparta | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Isparta | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Isparta | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Isparta | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Isparta | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Mardin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kütahya-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kütahya-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kütahya-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kütahya-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kütahya-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kütahya-Erzincan | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kütahya-Zonguldak | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
